File Name,Peak [CNN],Prediction Value,Peak [Worker],Matching
small ng samp 9_(19.7368_-22.3684).csv,0,0.0759221985936164,0,o
small ng samp 9_(19.7368_-25.0).csv,1,0.9250800013542176,1,o
small ng samp 9_(19.7368_-3.94737).csv,0,0.1622579991817474,0,o
small ng samp 9_(19.7368_-6.57895).csv,1,0.9077977538108826,1,o
small ng samp 9_(19.7368_-9.21053).csv,0,0.0027645493391901,0,o
small ng samp 9_(19.7368_1.31579).csv,0,0.0929191187024116,0,o
small ng samp 9_(19.7368_11.8421).csv,0,0.0074899792671203,0,o
small ng samp 9_(19.7368_14.4737).csv,0,0.0025595689658075,0,o
small ng samp 9_(19.7368_17.1053).csv,1,0.9030115604400636,1,o
small ng samp 9_(19.7368_19.7368).csv,1,0.9652347564697266,1,o
small ng samp 9_(19.7368_22.3684).csv,0,0.161991000175476,0,o
small ng samp 9_(19.7368_25.0).csv,1,0.6089598536491394,1,o
small ng samp 9_(19.7368_3.94737).csv,0,0.0053466404788196,0,o
small ng samp 9_(19.7368_6.57895).csv,1,0.7006375193595886,1,o
small ng samp 9_(19.7368_9.21053).csv,0,0.1134389117360115,0,o
small ng samp 9_(22.3684_-1.31579).csv,0,0.1563353389501571,1,x
small ng samp 9_(22.3684_-11.8421).csv,1,0.9796001315116882,1,o
small ng samp 9_(22.3684_-14.4737).csv,0,0.1134444996714592,0,o
small ng samp 9_(22.3684_-17.1053).csv,0,0.000888061709702,0,o
small ng samp 9_(22.3684_-19.7368).csv,1,0.9499587416648864,1,o
small ng samp 9_(22.3684_-22.3684).csv,0,0.2157720029354095,1,x
small ng samp 9_(22.3684_-25.0).csv,1,0.9871923923492432,1,o
small ng samp 9_(22.3684_-3.94737).csv,0,0.0450499206781387,0,o
small ng samp 9_(22.3684_-6.57895).csv,0,0.0019446348305791,0,o
small ng samp 9_(22.3684_-9.21053).csv,0,0.010521245189011,0,o
small ng samp 9_(22.3684_1.31579).csv,0,0.4515049457550049,0,o
small ng samp 9_(22.3684_11.8421).csv,0,0.0224133860319852,0,o
small ng samp 9_(22.3684_14.4737).csv,1,0.7683227062225342,1,o
small ng samp 9_(22.3684_17.1053).csv,0,0.0024957482237368,0,o
small ng samp 9_(22.3684_19.7368).csv,0,0.0158070381730794,0,o
